Nom,Nom url,Developpeur,Categorie(s),Nombre installations,Date de mise a jour,Taille,Version Actuelle,Version Android,Note,Date,Heure
Count Masters - Stickman Clash,crowdrun.com,Freeplay Inc,Action,100000000,2022-04-04 00:00:00.000000,97 Mo,1.34.4,5.0,3.7,2022-04-11 00:00:00.000000,2022-05-06 21:32:23.144045
Survival 456 But It's Impostor,survival.squid.impostor,Great Arcade Games,Action,10000000,2022-03-16 00:00:00.000000,78 Mo,1.2.4,5.0,4.4,2022-04-11 00:00:00.000000,2022-05-06 21:32:23.315543
Snake.io: Fun Snake .io Games,amelosinteractive.snake,Kooapps Games | Fun Arcade and Casual Action Games,Action,100000000,2022-04-06 00:00:00.000000,51 Mo,1.16.77,4.4,4.4,2022-04-11 00:00:00.000000,2022-05-06 21:32:23.431394
Draw Saber,kayac.drawSaber,KAYAC Inc.,Action,1000000,2022-04-08 00:00:00.000000,79 Mo,0.1.1,5.0,3.3,2022-04-11 00:00:00.000000,2022-05-06 21:32:23.545340
Sandwich Runner,co.dwango.HcgDW007SandwichRun,株式会社ドワンゴ,Action,10000000,2022-03-29 00:00:00.000000,93 Mo,0.3.10,5.0,4.0,2022-04-11 00:00:00.000000,2022-05-06 21:32:23.774446
Among Us,innersloth.spacemafia,Innersloth LLC,Action,100000000,2022-03-30 00:00:00.000000,202 Mo,2022.3.29,6.0,3.6,2022-04-11 00:00:00.000000,2022-05-06 21:32:23.964844
Stumble Guys: Multiplayer Royale,kitkagames.fallbuddies,Kitka Games,Action,50000000,2022-03-28 00:00:00.000000,120 Mo,0.37,5.1,4.2,2022-04-11 00:00:00.000000,2022-05-06 21:32:24.084527
Brawl Stars,supercell.brawlstars,Supercell,Action,100000000,2022-03-17 00:00:00.000000,344 Mo,42.356,4.3,4.2,2022-04-11 00:00:00.000000,2022-05-06 21:32:24.204383
Destiny Run,CharityRun.game,VOODOO,Action,50000000,2022-03-30 00:00:00.000000,160 Mo,2.1,4.4,4.1,2022-04-11 00:00:00.000000,2022-05-06 21:32:24.431727
Hair Challenge,Upperpik.HairChallenge,Rollic Games,Action,100000000,2022-04-06 00:00:00.000000,162 Mo,8.4.5,4.4,4.2,2022-04-11 00:00:00.000000,2022-05-06 21:32:24.551905
Merge Animals 3D - Mutant race,merge.animals,SayGames Ltd,Action,10000000,2022-04-06 00:00:00.000000,103 Mo,1.6.2,5.0,4.1,2022-04-11 00:00:00.000000,2022-05-06 21:32:24.668082
Stealth Master: Assassin Ninja,stealthgame.master,SayGames Ltd,Action,10000000,2022-04-04 00:00:00.000000,121 Mo,1.10.9,5.0,4.2,2022-04-11 00:00:00.000000,2022-05-06 21:32:24.786068
Battery Run,arkhe.batteryrun,VOODOO,Action,10000000,2022-03-22 00:00:00.000000,90 Mo,7.8,4.4,4.0,2022-04-11 00:00:00.000000,2022-05-06 21:32:24.934173
Sniper 3D：Gun Shooting Games,fungames.sniper3d,Fun Games For Free,Action,500000000,2022-04-08 00:00:00.000000,139 Mo,3.44.5,4.4,4.4,2022-04-11 00:00:00.000000,2022-05-06 21:32:25.175479
Traffic Run! - driving game,geishatokyo.trafficrun,"Geisha Tokyo, Inc.",Action,100000000,2022-04-04 00:00:00.000000,90 Mo,2.0.1,5.0,3.9,2022-04-11 00:00:00.000000,2022-05-06 21:32:25.292585
Bowmasters,playgendary.bowmasters,Playgendary Limited,Action,10000000,2022-03-29 00:00:00.000000,148 Mo,2.15.15,5.0,4.6,2022-04-11 00:00:00.000000,2022-05-06 21:32:25.413650
Stacky Dash,Born2Play.StackyDash,Supersonic Studios LTD,Action,50000000,2022-02-13 00:00:00.000000,75 Mo,3.0.3,6.0,3.7,2022-04-11 00:00:00.000000,2022-05-06 21:32:25.529293
Kick The Buddy Remastered,playgendary.ktbremaster,Playgendary Limited,Action,10000000,2022-03-30 00:00:00.000000,118 Mo,1.3.2,5.0,4.8,2022-04-11 00:00:00.000000,2022-05-06 21:32:25.644859
Childcare Master,HommadeGames.ChildcareMaster,VOODOO,Action,1000000,2022-04-04 00:00:00.000000,87 Mo,1.5,4.4,3.6,2022-04-11 00:00:00.000000,2022-05-06 21:32:26.054760
Gem Stack,bytetyper.gemstack,ByteTyper,Action,5000000,2022-04-08 00:00:00.000000,151 Mo,1.5.5,5.1,3.8,2022-04-11 00:00:00.000000,2022-05-06 21:32:26.199677
Mind Controller,YsoCorp.MindController,Yso Corp,Action,500000,2022-04-07 00:00:00.000000,64 Mo,0.1.8,5.0,4.4,2022-04-11 00:00:00.000000,2022-05-06 21:32:26.314618
Hide 'N Seek!,seenax.HideAndSeek,Supersonic Studios LTD,Action,100000000,2022-03-29 00:00:00.000000,98 Mo,1.7.8,5.0,4.1,2022-04-11 00:00:00.000000,2022-05-06 21:32:26.430878
Mario Kart Tour,nintendo.zaka,"Nintendo Co., Ltd.",Action,100000000,2022-04-07 00:00:00.000000,137 Mo,2.13.0,5.0,4.3,2022-04-11 00:00:00.000000,2022-05-06 21:32:26.548365
I Want Pizza,bytetyper.iwantpizza,ByteTyper,Action,5000000,2022-04-08 00:00:00.000000,135 Mo,1.6.8,5.1,4.1,2022-04-11 00:00:00.000000,2022-05-06 21:32:26.663347
Agar.io,miniclip.agar.io,Miniclip.com,Action,100000000,2022-03-16 00:00:00.000000,56 Mo,2.20.3,5.0,3.9,2022-04-11 00:00:00.000000,2022-05-06 21:32:26.778531
Hospital Escaper,co.goodroid.hyper.hospital,"GOODROID,Inc.",Action,10000000,2022-03-03 00:00:00.000000,111 Mo,2.0.2,5.0,2.4,2022-04-11 00:00:00.000000,2022-05-06 21:32:27.169513
